as_of_date,option_maturity,swap_tenor,expiry_years,tenor_years,strike,forward0,annuity0,market_vol,market_vol_dec,model_price,model_price_stderr,model_vol_dec,model_vol_bp,vol_error_bp,status
2010-10-29,1.0,1.0,1.0,1,0.01648859679698944,0.01648859679698944,0.9696357846260071,44.0,0.0044,0.010053453966975212,0.0005083297728560865,0.025989420327593285,259.89420327593285,215.89420327593285,ok
2010-11-30,1.0,1.0,1.0,1,0.017838191241025925,0.017838191241025925,0.9676010608673096,52.2,0.005220000000000001,0.009128568693995476,0.00048339663771912456,0.023648101806306665,236.48101806306664,184.28101806306663,ok
2010-12-31,1.0,1.0,1.0,1,0.01941634714603424,0.01941634714603424,0.9652581214904785,48.7,0.00487,0.007987430319190025,0.00045113032683730125,0.020742139572792195,207.42139572792195,158.72139572792196,ok
2011-01-31,1.0,1.0,1.0,1,0.01975775882601738,0.01975775882601738,0.9647514820098877,41.8,0.00418,0.00850246474146843,0.00046884812763892114,0.02209120060703821,220.9120060703821,179.1120060703821,ok
2011-02-28,1.0,1.0,1.0,1,0.020287225022912025,0.020287225022912025,0.963973343372345,39.5,0.00395,0.008321392349898815,0.0004713662201538682,0.021638188951971477,216.38188951971478,176.88188951971475,ok
2011-03-31,1.0,1.0,1.0,1,0.020796997472643852,0.020796997472643852,0.9632240533828735,33.6,0.00336,0.00840536318719387,0.00046911739627830684,0.021873541207331072,218.73541207331073,185.1354120733107,ok
2011-04-29,1.0,1.0,1.0,1,0.019363800063729286,0.019363800063729286,0.965334951877594,33.6,0.00336,0.008199639618396759,0.0004594331549014896,0.02129152007733793,212.9152007733793,179.31520077337927,ok
2011-05-31,1.0,1.0,1.0,1,0.018359476700425148,0.018359476700425148,0.9668272733688354,43.1,0.0043100000000000005,0.008559612557291985,0.00047016949974931777,0.022191933809680077,221.91933809680077,178.81933809680075,ok
2011-06-30,1.0,1.0,1.0,1,0.018839720636606216,0.018839720636606216,0.9661126136779785,40.4,0.00404,0.009503931738436222,0.0004938957281410694,0.0246584338910905,246.58433891090502,206.18433891090498,ok
2011-07-29,1.0,1.0,1.0,1,0.017341723665595055,0.017341723665595055,0.9683485627174377,53.8,0.005379999999999999,0.008712571114301682,0.0004756371199619025,0.022553012355959426,225.53012355959427,171.73012355959426,ok
2011-08-31,1.0,1.0,1.0,1,0.01570357382297516,0.01570357382297516,0.9708297848701477,75.4,0.007540000000000001,0.01020867470651865,0.0005076289526186883,0.026358227842476656,263.58227842476657,188.18227842476654,ok
2011-09-30,1.0,1.0,1.0,1,0.015103085897862911,0.015103085897862911,0.971751868724823,69.4,0.006940000000000001,0.010904626920819283,0.0005251597613096237,0.02812842150733058,281.2842150733058,211.8842150733058,ok
2011-10-31,1.0,1.0,1.0,1,0.015430444851517677,0.015430444851517677,0.9712495803833008,73.9,0.007390000000000001,0.011103805154561996,0.0005169580690562725,0.028657013108241883,286.5701310824188,212.67013108241883,ok
2011-11-30,1.0,1.0,1.0,1,0.015433462336659431,0.015433462336659431,0.9712450504302979,74.5,0.00745,0.009694145992398262,0.0004896598984487355,0.025019041726061418,250.19041726061417,175.6904172606142,ok
2011-12-30,1.0,1.0,1.0,1,0.015142031945288181,0.015142031945288181,0.9716890454292297,59.2,0.00592,0.010759538970887661,0.0005179194267839193,0.02775596239690807,277.5596239690807,218.3596239690807,ok
2012-01-31,1.0,1.0,1.0,1,0.014500933699309826,0.014500933699309826,0.9726769328117371,68.6,0.00686,0.01142176054418087,0.0005377076449804008,0.029434344498483173,294.3434449848317,225.74344498483174,ok
2012-02-29,1.0,1.0,1.0,1,0.014920315705239773,0.014920315705239773,0.972030520439148,59.1,0.00591,0.010401156730949879,0.0005158596322871745,0.02682203182147902,268.2203182147902,209.12031821479022,ok
2012-03-30,1.0,1.0,1.0,1,0.015568377450108528,0.015568377450108528,0.9710367321968079,57.2,0.00572,0.010675865225493908,0.0005207086214795709,0.027558613122525083,275.5861312252508,218.38613122525084,ok
2012-04-30,1.0,1.0,1.0,1,0.014918573200702667,0.014918573200702667,0.9720321893692017,67.8,0.00678,0.010177360847592354,0.0005035962094552815,0.02624487207388944,262.4487207388944,194.64872073889438,ok
2012-05-31,1.0,1.0,1.0,1,0.014312696643173695,0.014312696643173695,0.9729676246643066,84.4,0.008440000000000001,0.01018036063760519,0.0005034177447669208,0.026227367872559956,262.27367872559955,177.87367872559952,ok
2012-06-29,1.0,1.0,1.0,1,0.014301290735602379,0.014301290735602379,0.9729850888252258,74.7,0.00747,0.010793853551149368,0.0005255868891254067,0.027807392748643966,278.0739274864397,203.37392748643967,ok
2012-07-31,1.0,1.0,1.0,1,0.013676246628165245,0.013676246628165245,0.973957896232605,116.8,0.01168,0.011225131340324879,0.000522649846971035,0.028889576965229785,288.8957696522979,172.09576965229786,ok
2012-08-31,1.0,1.0,1.0,1,0.013809558004140854,0.013809558004140854,0.9737492203712463,128.7,0.01287,0.011269594542682171,0.0005412630853243172,0.02901022535714544,290.1022535714544,161.4022535714544,ok
2012-09-28,1.0,1.0,1.0,1,0.01389276422560215,0.01389276422560215,0.9736191034317017,117.0,0.0117,0.010829702951014042,0.0005291717825457454,0.027881580720001548,278.81580720001546,161.81580720001546,ok
2012-10-31,1.0,1.0,1.0,1,0.01400797814130783,0.01400797814130783,0.9734405279159546,101.1,0.01011,0.011584562249481678,0.0005399297224357724,0.02983047289590636,298.3047289590636,197.2047289590636,ok
2012-11-30,1.0,1.0,1.0,1,0.01383836567401886,0.01383836567401886,0.9737034440040588,122.1,0.012209999999999999,0.011031785979866982,0.0005228043883107603,0.02839939288198444,283.99392881984437,161.8939288198444,ok
2012-12-31,1.0,1.0,1.0,1,0.014224466867744923,0.014224466867744923,0.9731027483940125,130.3,0.013030000000000002,0.010584436357021332,0.0005217946018092334,0.02726458998017281,272.6458998017281,142.34589980172808,ok
2013-01-31,1.0,1.0,1.0,1,0.01484642643481493,0.01484642643481493,0.9721428751945496,72.4,0.007240000000000001,0.010524318553507328,0.000511527992784977,0.027136499305378106,271.36499305378106,198.96499305378106,ok
2013-02-28,1.0,1.0,1.0,1,0.014539032243192196,0.014539032243192196,0.9726166129112244,114.3,0.01143,0.011077240109443665,0.0005308963591232896,0.02854827163613581,285.4827163613581,171.1827163613581,ok
2013-03-29,1.0,1.0,1.0,1,0.01469251699745655,0.01469251699745655,0.9723791480064392,94.2,0.00942,0.010292908176779747,0.0005146744661033154,0.02653336891992454,265.3336891992454,171.13368919924542,ok
2013-04-30,1.0,1.0,1.0,1,0.014207652769982815,0.014207652769982815,0.9731299877166748,103.9,0.01039,0.011419430375099182,0.0005508164176717401,0.02941463876328254,294.1463876328254,190.24638763282542,ok
2013-05-31,1.0,1.0,1.0,1,0.015467464923858643,0.015467464923858643,0.971190869808197,107.4,0.010740000000000001,0.010564448311924934,0.000510780664626509,0.02726667400588162,272.6667400588162,165.2667400588162,ok
2013-06-28,1.0,1.0,1.0,1,0.01659422181546688,0.01659422181546688,0.9694802165031433,93.2,0.00932,0.009700790978968143,0.0004971104208379984,0.025081767054385383,250.81767054385384,157.61767054385382,ok
2013-07-31,1.0,1.0,1.0,1,0.016733443364501,0.016733443364501,0.9692684412002563,84.1,0.008409999999999999,0.010577535256743431,0.0005046934238635004,0.027354598399620733,273.5459839962073,189.44598399620733,ok
2013-08-30,1.0,1.0,1.0,1,0.01757354475557804,0.01757354475557804,0.9680052995681763,83.8,0.00838,0.009074743837118149,0.000479258771520108,0.02349884809236174,234.9884809236174,151.1884809236174,ok
2013-09-30,1.0,1.0,1.0,1,0.016714321449398994,0.016714321449398994,0.9692968130111694,89.6,0.00896,0.009246615692973137,0.00048321971553377807,0.023912003041307972,239.12003041307972,149.52003041307972,ok
2013-10-31,1.0,1.0,1.0,1,0.016432082280516624,0.016432082280516624,0.9697241187095642,90.0,0.009,0.010235438123345375,0.0005075586377643049,0.026457461568920565,264.57461568920564,174.57461568920564,ok
2013-11-29,1.0,1.0,1.0,1,0.01663697138428688,0.01663697138428688,0.9694145917892456,104.4,0.010440000000000001,0.009338058531284332,0.0004884559893980622,0.024145542828558228,241.4554282855823,137.05542828558225,ok
2013-12-31,1.0,1.0,1.0,1,0.017746344208717346,0.017746344208717346,0.9677456021308899,87.0,0.0087,0.00913964956998825,0.00048338744090870023,0.023673271138516645,236.73271138516645,149.73271138516645,ok
2014-01-31,1.0,1.0,1.0,1,0.016793908551335335,0.016793908551335335,0.9691787362098694,107.6,0.010759999999999999,0.009626457467675209,0.0004923453088849783,0.024897317255815565,248.97317255815565,141.37317255815566,ok
2014-02-28,1.0,1.0,1.0,1,0.016717813909053802,0.016717813909053802,0.969294011592865,89.1,0.00891,0.00919862650334835,0.00048709160182625055,0.023787970425167546,237.87970425167546,148.77970425167547,ok
